DATE_NAME,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,C2021_ETH_20_NAME,OBS_VALUE
2021,650117150,Lancashire,E10000017,"Asian, Asian British or Asian Welsh: Pakistani",57394
2021,650117150,Lancashire,E10000017,"Asian, Asian British or Asian Welsh: Other Asian",6274
2021,650117150,Lancashire,E10000017,"Black, Black British, Black Welsh, Caribbean or African: African",5229
2021,650117150,Lancashire,E10000017,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1921
2021,650117150,Lancashire,E10000017,"Black, Black British, Black Welsh, Caribbean or African: Other Black",829
2021,650117150,Lancashire,E10000017,Mixed or Multiple ethnic groups: White and Asian,7599
2021,650117150,Lancashire,E10000017,Mixed or Multiple ethnic groups: White and Black African,2660
2021,650117150,Lancashire,E10000017,Mixed or Multiple ethnic groups: White and Black Caribbean,5526
2021,650117150,Lancashire,E10000017,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4162
2021,650117150,Lancashire,E10000017,"White: English, Welsh, Scottish, Northern Irish or British",1052299
2021,650117150,Lancashire,E10000017,White: Irish,6677
2021,650117150,Lancashire,E10000017,White: Gypsy or Irish Traveller,956
2021,650117150,Lancashire,E10000017,White: Roma,912
2021,650117150,Lancashire,E10000017,White: Other White,37751
2021,650117150,Lancashire,E10000017,Other ethnic group: Arab,3002
2021,650117150,Lancashire,E10000017,Other ethnic group: Any other ethnic group,5797
2021,650117152,Liverpool,E08000012,"Asian, Asian British or Asian Welsh: Bangladeshi",1917
2021,650117152,Liverpool,E08000012,"Asian, Asian British or Asian Welsh: Chinese",8841
2021,650117152,Liverpool,E08000012,"Asian, Asian British or Asian Welsh: Indian",6251
2021,650117152,Liverpool,E08000012,"Asian, Asian British or Asian Welsh: Pakistani",3673
2021,650117152,Liverpool,E08000012,"Asian, Asian British or Asian Welsh: Other Asian",7085
2021,650117152,Liverpool,E08000012,"Black, Black British, Black Welsh, Caribbean or African: African",12709
2021,650117152,Liverpool,E08000012,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1493
2021,650117152,Liverpool,E08000012,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2762
2021,650117152,Liverpool,E08000012,Mixed or Multiple ethnic groups: White and Asian,3662
2021,650117152,Liverpool,E08000012,Mixed or Multiple ethnic groups: White and Black African,4157
2021,650117152,Liverpool,E08000012,Mixed or Multiple ethnic groups: White and Black Caribbean,4127
2021,650117152,Liverpool,E08000012,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4934
2021,650117152,Liverpool,E08000012,"White: English, Welsh, Scottish, Northern Irish or British",375785
2021,650117152,Liverpool,E08000012,White: Irish,6826
2021,650117152,Liverpool,E08000012,White: Gypsy or Irish Traveller,501
2021,650117152,Liverpool,E08000012,White: Roma,1169
2021,650117152,Liverpool,E08000012,White: Other White,24162
2021,650117152,Liverpool,E08000012,Other ethnic group: Arab,8312
2021,650117152,Liverpool,E08000012,Other ethnic group: Any other ethnic group,7722
2021,650117142,Manchester,E08000003,"Asian, Asian British or Asian Welsh: Bangladeshi",9673
2021,650117142,Manchester,E08000003,"Asian, Asian British or Asian Welsh: Chinese",12644
2021,650117142,Manchester,E08000003,"Asian, Asian British or Asian Welsh: Indian",14857
2021,650117142,Manchester,E08000003,"Asian, Asian British or Asian Welsh: Pakistani",65875
2021,650117142,Manchester,E08000003,"Asian, Asian British or Asian Welsh: Other Asian",12060
2021,650117142,Manchester,E08000003,"Black, Black British, Black Welsh, Caribbean or African: African",47858
2021,650117142,Manchester,E08000003,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10472
2021,650117142,Manchester,E08000003,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7563
2021,650117142,Manchester,E08000003,Mixed or Multiple ethnic groups: White and Asian,6149
2021,650117142,Manchester,E08000003,Mixed or Multiple ethnic groups: White and Black African,5992
2021,650117142,Manchester,E08000003,Mixed or Multiple ethnic groups: White and Black Caribbean,9987
2021,650117142,Manchester,E08000003,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6898
2021,650117142,Manchester,E08000003,"White: English, Welsh, Scottish, Northern Irish or British",268572
2021,650117142,Manchester,E08000003,White: Irish,9442
2021,650117142,Manchester,E08000003,White: Gypsy or Irish Traveller,597
2021,650117142,Manchester,E08000003,White: Roma,883
2021,650117142,Manchester,E08000003,White: Other White,34138
2021,650117142,Manchester,E08000003,Other ethnic group: Arab,15028
2021,650117142,Manchester,E08000003,Other ethnic group: Any other ethnic group,13250
2021,650117143,Oldham,E08000004,"Asian, Asian British or Asian Welsh: Bangladeshi",21754
2021,650117143,Oldham,E08000004,"Asian, Asian British or Asian Welsh: Chinese",819
2021,650117143,Oldham,E08000004,"Asian, Asian British or Asian Welsh: Indian",1676
2021,650117143,Oldham,E08000004,"Asian, Asian British or Asian Welsh: Pakistani",32802
2021,650117143,Oldham,E08000004,"Asian, Asian British or Asian Welsh: Other Asian",2514
2021,650117143,Oldham,E08000004,"Black, Black British, Black Welsh, Caribbean or African: African",6065
2021,650117143,Oldham,E08000004,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",876
2021,650117143,Oldham,E08000004,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1268
2021,650117143,Oldham,E08000004,Mixed or Multiple ethnic groups: White and Asian,1829
2021,650117143,Oldham,E08000004,Mixed or Multiple ethnic groups: White and Black African,1043
2021,650117143,Oldham,E08000004,Mixed or Multiple ethnic groups: White and Black Caribbean,2353
2021,650117143,Oldham,E08000004,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,900
2021,650117143,Oldham,E08000004,"White: English, Welsh, Scottish, Northern Irish or British",157914
2021,650117143,Oldham,E08000004,White: Irish,1279
2021,650117143,Oldham,E08000004,White: Gypsy or Irish Traveller,177
